epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9175,1.92657,2.61071,1.03181,0.61288,0.56826,0.58043,0.28695,1.84422,1.73187,1.05664,0.000368828,0.000368828,0.000368828
2,100.799,1.83046,1.53688,1.02646,0.54182,0.56211,0.57872,0.2861,1.81986,1.54653,1.0807,0.000728707,0.000728707,0.000728707
3,147.967,1.81293,1.20928,1.03175,0.67458,0.69905,0.65038,0.33071,1.77296,1.169,1.06112,0.00107811,0.00107811,0.00107811
4,197.793,1.76071,1.03712,1.01616,0.77272,0.68875,0.69172,0.35548,1.77644,1.08619,1.05547,0.00106386,0.00106386,0.00106386
5,247.495,1.7279,0.96659,1.01067,0.75184,0.64752,0.6695,0.35584,1.70487,1.00446,1.05929,0.00104815,0.00104815,0.00104815
6,298.58,1.70835,0.92506,1.00579,0.68388,0.60022,0.65788,0.35848,1.69304,1.17771,1.04453,0.00103244,0.00103244,0.00103244
7,351.136,1.67264,0.88769,0.99517,0.76335,0.70928,0.7037,0.35276,1.81835,0.995,1.08478,0.00101672,0.00101672,0.00101672
8,403.693,1.65001,0.85463,0.98503,0.74657,0.72011,0.74841,0.41205,1.64977,0.96359,1.05291,0.00100101,0.00100101,0.00100101
9,454.159,1.63204,0.83548,0.97712,0.83183,0.71197,0.74746,0.39811,1.70608,0.95711,1.05908,0.000985298,0.000985298,0.000985298
10,503.944,1.61042,0.81789,0.97817,0.83386,0.74351,0.76472,0.43634,1.64611,0.89344,1.04785,0.000969586,0.000969586,0.000969586
11,555.491,1.61441,0.81037,0.97735,0.84422,0.76908,0.77144,0.44042,1.70666,0.873,1.0823,0.000953873,0.000953873,0.000953873
12,605.422,1.59801,0.80924,0.97674,0.79462,0.74758,0.76677,0.43827,1.69403,0.87763,1.05627,0.00093816,0.00093816,0.00093816
13,654.117,1.56303,0.7868,0.96385,0.86259,0.74892,0.75889,0.42742,1.64358,0.85997,1.04043,0.000922447,0.000922447,0.000922447
14,703.032,1.56671,0.77991,0.96489,0.85424,0.75529,0.76817,0.43731,1.6333,0.83787,1.04897,0.000906735,0.000906735,0.000906735
15,751.763,1.55742,0.76742,0.96366,0.78115,0.75932,0.76004,0.43629,1.65698,0.86277,1.03783,0.000891022,0.000891022,0.000891022
16,799.27,1.53501,0.75629,0.96066,0.81502,0.75325,0.7639,0.42064,1.73791,0.86904,1.0682,0.000875309,0.000875309,0.000875309
17,846.903,1.53177,0.749,0.95729,0.89078,0.76076,0.77525,0.44473,1.65383,0.85344,1.04684,0.000859597,0.000859597,0.000859597
18,895.544,1.52233,0.7404,0.95983,0.87849,0.76512,0.76686,0.43565,1.66301,0.82167,1.04131,0.000843884,0.000843884,0.000843884
19,943.651,1.50255,0.73703,0.95296,0.83585,0.77825,0.78382,0.46451,1.61886,0.89091,1.04792,0.000828171,0.000828171,0.000828171
20,992.962,1.49689,0.7295,0.94694,0.83422,0.76558,0.77203,0.42852,1.7093,0.83006,1.03872,0.000812458,0.000812458,0.000812458
21,1043.06,1.49124,0.7199,0.94838,0.87298,0.7653,0.77526,0.44215,1.6536,0.82809,1.04133,0.000796746,0.000796746,0.000796746
22,1093.33,1.48148,0.71073,0.94374,0.83288,0.76591,0.77902,0.45139,1.60138,0.81107,1.04232,0.000781033,0.000781033,0.000781033
23,1143.98,1.47285,0.70569,0.93885,0.85911,0.7617,0.78103,0.45808,1.59509,0.7805,1.03756,0.00076532,0.00076532,0.00076532
24,1193.59,1.45647,0.70284,0.93728,0.90277,0.78871,0.79083,0.46783,1.60032,0.80933,1.04686,0.000749608,0.000749608,0.000749608
25,1243.35,1.46611,0.70209,0.94126,0.87647,0.77937,0.79249,0.47473,1.58787,0.78024,1.02832,0.000733895,0.000733895,0.000733895
26,1294.22,1.45771,0.69242,0.94298,0.81336,0.7648,0.78452,0.47447,1.56734,0.81743,1.03292,0.000718182,0.000718182,0.000718182
27,1343.07,1.44941,0.6866,0.93492,0.82827,0.71992,0.76311,0.44713,1.63429,0.83565,1.04474,0.000702469,0.000702469,0.000702469
28,1392.62,1.43732,0.68153,0.93271,0.79788,0.77179,0.76407,0.45379,1.62275,0.82664,1.07144,0.000686757,0.000686757,0.000686757
29,1441.67,1.42124,0.67817,0.93035,0.86175,0.77614,0.78042,0.46838,1.56796,0.77193,1.03409,0.000671044,0.000671044,0.000671044
30,1492.31,1.42677,0.67269,0.92975,0.83476,0.76755,0.7838,0.47392,1.59298,0.79675,1.04252,0.000655331,0.000655331,0.000655331
31,1542.38,1.40718,0.66515,0.92679,0.88525,0.79051,0.79054,0.47436,1.57783,0.75683,1.05279,0.000639619,0.000639619,0.000639619
32,1595.23,1.40513,0.66538,0.92465,0.90895,0.7883,0.79461,0.48236,1.57695,0.76486,1.0514,0.000623906,0.000623906,0.000623906
33,1648.02,1.40052,0.65655,0.92177,0.88942,0.77435,0.79556,0.46077,1.57365,0.76378,1.05095,0.000608193,0.000608193,0.000608193
34,1699.64,1.39207,0.65843,0.92611,0.89113,0.77583,0.79299,0.48076,1.54059,0.77808,1.02768,0.00059248,0.00059248,0.00059248
35,1748.36,1.38092,0.64844,0.91865,0.87742,0.77422,0.78466,0.47238,1.53088,0.86752,1.02502,0.000576768,0.000576768,0.000576768
36,1796.94,1.36909,0.64179,0.92183,0.88228,0.78154,0.79578,0.47574,1.55924,0.754,1.03705,0.000561055,0.000561055,0.000561055
37,1846.8,1.3706,0.64386,0.92186,0.8729,0.79228,0.79785,0.47617,1.55438,0.82377,1.04513,0.000545342,0.000545342,0.000545342
38,1896.49,1.37501,0.64927,0.91885,0.85308,0.78351,0.78554,0.4673,1.56071,0.79469,1.02266,0.00052963,0.00052963,0.00052963
39,1946.17,1.35833,0.63856,0.90929,0.88493,0.77459,0.79405,0.47811,1.55051,0.79185,1.03613,0.000513917,0.000513917,0.000513917
40,1996.25,1.34387,0.62754,0.91663,0.83506,0.7763,0.78528,0.47125,1.58835,0.77752,1.04732,0.000498204,0.000498204,0.000498204
41,2042.83,1.35475,0.63176,0.91227,0.91875,0.79023,0.79962,0.48037,1.57561,0.76507,1.04723,0.000482491,0.000482491,0.000482491
42,2090.32,1.33165,0.61955,0.90951,0.90511,0.79037,0.79649,0.48445,1.55257,0.74559,1.04574,0.000466779,0.000466779,0.000466779
43,2142.24,1.34473,0.62431,0.9116,0.89042,0.78028,0.79461,0.48041,1.54848,0.74077,1.04489,0.000451066,0.000451066,0.000451066
44,2189.99,1.33938,0.61785,0.90702,0.8727,0.77766,0.79827,0.4767,1.55783,0.73162,1.0398,0.000435353,0.000435353,0.000435353
45,2241.1,1.31658,0.6099,0.90615,0.88316,0.78835,0.79561,0.49076,1.53569,0.75732,1.0403,0.000419641,0.000419641,0.000419641
46,2292.38,1.30857,0.60495,0.9046,0.91029,0.78415,0.80232,0.49577,1.5257,0.75252,1.03509,0.000403928,0.000403928,0.000403928
47,2343.93,1.2994,0.59797,0.90302,0.89892,0.7816,0.7953,0.48039,1.56007,0.75446,1.05131,0.000388215,0.000388215,0.000388215
48,2396.1,1.30587,0.60315,0.90204,0.83363,0.77969,0.78697,0.47924,1.53716,0.75457,1.03805,0.000372502,0.000372502,0.000372502
49,2450.13,1.29644,0.59778,0.9046,0.90375,0.78865,0.80111,0.48908,1.54014,0.7375,1.04393,0.00035679,0.00035679,0.00035679
50,2501.93,1.2884,0.59402,0.90341,0.89168,0.78167,0.78793,0.47779,1.55175,0.77988,1.0489,0.000341077,0.000341077,0.000341077
51,2554.47,1.29205,0.59665,0.90482,0.84073,0.77946,0.7821,0.47167,1.55068,0.75985,1.04383,0.000325364,0.000325364,0.000325364
52,2604.78,1.27119,0.58529,0.89542,0.84126,0.7759,0.79045,0.48408,1.54814,0.74364,1.04481,0.000309652,0.000309652,0.000309652
53,2655.81,1.26997,0.58083,0.89709,0.89978,0.77934,0.79556,0.48294,1.5503,0.72176,1.04844,0.000293939,0.000293939,0.000293939
