epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7826,1.96838,2.59727,1.05635,0.75393,0.53283,0.56089,0.25098,1.9693,1.66863,1.08249,0.000368828,0.000368828,0.000368828
2,103.547,1.88989,1.54806,1.0609,0.64695,0.58669,0.62383,0.29248,1.90689,1.59584,1.07439,0.000731844,0.000731844,0.000731844
3,152.4,1.8702,1.21334,1.06207,0.67707,0.68551,0.66834,0.32609,1.88988,1.18858,1.1044,0.00108753,0.00108753,0.00108753
4,200.781,1.83556,1.06626,1.05432,0.54053,0.63105,0.58324,0.2902,1.81141,1.27905,1.05057,0.001078,0.001078,0.001078
5,250.786,1.78653,0.99314,1.04469,0.74615,0.66074,0.69606,0.35619,1.85409,1.06654,1.09714,0.001067,0.001067,0.001067
6,300.261,1.78088,0.95677,1.03693,0.70164,0.69274,0.69285,0.33705,1.94126,1.0358,1.10774,0.00105601,0.00105601,0.00105601
7,351.177,1.74664,0.90569,1.02226,0.80587,0.69082,0.71441,0.3732,1.82636,0.99707,1.08198,0.00104501,0.00104501,0.00104501
8,399.586,1.70729,0.88005,1.01651,0.77578,0.72006,0.72314,0.37554,1.82712,0.96524,1.08893,0.00103401,0.00103401,0.00103401
9,449.527,1.70179,0.85829,1.01166,0.81976,0.72781,0.74832,0.37059,1.87686,0.98234,1.08903,0.00102301,0.00102301,0.00102301
10,499.604,1.68343,0.84519,1.00734,0.74091,0.66854,0.69555,0.37,1.81003,0.99161,1.06355,0.00101201,0.00101201,0.00101201
11,549.714,1.67262,0.8283,1.00698,0.8346,0.73544,0.75956,0.39911,1.81599,0.91622,1.0827,0.00100101,0.00100101,0.00100101
12,600.525,1.67535,0.82982,1.00624,0.87025,0.74684,0.77776,0.42098,1.79735,0.91158,1.0652,0.000990012,0.000990012,0.000990012
13,649.308,1.6525,0.81382,0.99847,0.81469,0.7548,0.75858,0.40641,1.825,0.90106,1.06718,0.000979013,0.000979013,0.000979013
14,698.962,1.63982,0.80658,0.99828,0.80228,0.74916,0.75333,0.39877,1.79428,0.87782,1.06116,0.000968014,0.000968014,0.000968014
15,748.009,1.64769,0.7958,0.99929,0.86929,0.76247,0.77221,0.40891,1.83903,0.89133,1.07487,0.000957015,0.000957015,0.000957015
16,796.939,1.62314,0.78582,0.98891,0.86224,0.73672,0.75759,0.4194,1.74582,0.88873,1.0695,0.000946016,0.000946016,0.000946016
17,846.632,1.62286,0.77958,0.98939,0.87797,0.7571,0.771,0.41396,1.83807,0.91426,1.0831,0.000935018,0.000935018,0.000935018
18,902.944,1.61334,0.76994,0.98457,0.88327,0.77745,0.78374,0.39104,1.89966,0.89265,1.08248,0.000924019,0.000924019,0.000924019
19,954.446,1.60717,0.77025,0.98603,0.859,0.73937,0.75629,0.40441,1.79998,0.88966,1.07521,0.00091302,0.00091302,0.00091302
20,1004.28,1.58726,0.76184,0.98218,0.85794,0.74176,0.76082,0.40889,1.81892,0.86737,1.08708,0.000902021,0.000902021,0.000902021
21,1054.68,1.60023,0.75637,0.98664,0.79634,0.74978,0.74612,0.38589,1.84222,0.92689,1.09785,0.000891022,0.000891022,0.000891022
22,1105.66,1.57415,0.74564,0.97802,0.91529,0.77052,0.78495,0.41927,1.77459,0.86609,1.07117,0.000880023,0.000880023,0.000880023
23,1154.97,1.57652,0.7471,0.97497,0.89268,0.74048,0.77095,0.39584,1.86492,0.88355,1.07707,0.000869024,0.000869024,0.000869024
