epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,3759.5,1.47759,0.65054,0.87447,0.80137,0.68935,0.70722,0.38191,1.70983,0.77434,0.91751,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,3878.88,1.47584,0.64912,0.87264,0.77942,0.68153,0.68423,0.37646,1.71258,0.76382,0.91935,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,3998.66,1.47403,0.64621,0.87228,0.80141,0.71216,0.71689,0.38877,1.7203,0.74505,0.91921,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,4118.08,1.46854,0.6418,0.87021,0.72982,0.71846,0.70796,0.39159,1.69373,0.75528,0.91198,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
35,4239.04,1.45604,0.63855,0.86945,0.77759,0.69106,0.69864,0.38638,1.72824,0.7629,0.93077,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
36,4358.57,1.45867,0.64073,0.87074,0.77362,0.71064,0.71312,0.39676,1.69095,0.73364,0.92614,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
37,4477.98,1.44955,0.63187,0.86734,0.8048,0.71113,0.72093,0.39666,1.69437,0.76037,0.91545,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
38,4598.13,1.44273,0.631,0.86655,0.76796,0.71192,0.71364,0.39164,1.71453,0.74984,0.92218,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475
39,4718.08,1.43442,0.62898,0.86735,0.83771,0.70357,0.71894,0.39565,1.69471,0.72746,0.92119,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
40,4838.11,1.42557,0.6243,0.86501,0.78963,0.69855,0.71295,0.39655,1.69344,0.74052,0.91633,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
41,4958.04,1.42184,0.624,0.86577,0.84185,0.71709,0.73743,0.40955,1.68063,0.72643,0.9222,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,5078.27,1.42529,0.62197,0.86503,0.8023,0.71727,0.71804,0.39738,1.69544,0.74131,0.92061,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
43,5198,1.42111,0.61937,0.86243,0.80604,0.70202,0.71576,0.40108,1.67121,0.7474,0.91354,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
44,5317.9,1.40616,0.61056,0.8636,0.80907,0.71232,0.72802,0.40232,1.66415,0.7156,0.91686,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525
45,5437.51,1.40614,0.61362,0.86184,0.8161,0.70973,0.72461,0.40597,1.67301,0.73441,0.92407,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
46,5558.05,1.40704,0.61014,0.85964,0.79471,0.71618,0.72929,0.40844,1.67455,0.73729,0.91766,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
47,5677.69,1.40158,0.6076,0.85686,0.80925,0.71959,0.73523,0.40712,1.66213,0.73691,0.91558,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
48,5798.02,1.39399,0.60703,0.85905,0.82744,0.69249,0.71605,0.40136,1.67514,0.72469,0.91768,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
49,5917.92,1.39005,0.60365,0.8579,0.78125,0.72318,0.72464,0.40197,1.67729,0.7416,0.91792,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
50,6037.34,1.38449,0.59976,0.85815,0.77846,0.70912,0.71119,0.39788,1.6679,0.74836,0.91607,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
51,6157.53,1.37662,0.59728,0.85414,0.79459,0.70975,0.72421,0.40316,1.67402,0.71508,0.92298,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
52,6278,1.37287,0.59542,0.85489,0.77904,0.70182,0.71215,0.40221,1.66783,0.76146,0.91796,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
53,6398.11,1.36579,0.59224,0.85365,0.80982,0.71729,0.72598,0.40885,1.65672,0.71763,0.91794,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
54,6517.89,1.36225,0.59152,0.85461,0.77927,0.71397,0.70384,0.39616,1.65513,0.72833,0.92001,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275
55,6637.94,1.36799,0.59055,0.85415,0.80911,0.72523,0.73405,0.40934,1.65672,0.71508,0.91999,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
56,6758.57,1.3583,0.58868,0.85452,0.81693,0.70473,0.72521,0.40948,1.65702,0.71006,0.92337,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625
57,6879,1.3533,0.58163,0.85388,0.77095,0.70404,0.70976,0.39677,1.6655,0.71189,0.92856,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
58,6998.85,1.35333,0.58585,0.85411,0.77868,0.7232,0.72954,0.41014,1.65316,0.69755,0.92612,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
59,7118.73,1.3453,0.5828,0.85156,0.77439,0.71701,0.7226,0.40864,1.64806,0.69961,0.91986,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
60,7239.06,1.33539,0.57749,0.85009,0.80816,0.72138,0.73713,0.41403,1.65494,0.69152,0.92004,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325
61,7359.07,1.34091,0.57651,0.85064,0.82222,0.71484,0.72989,0.41132,1.6576,0.69257,0.92249,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,7479.5,1.3272,0.57409,0.84948,0.79681,0.72586,0.73204,0.40952,1.64979,0.69026,0.92054,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675
63,7599.58,1.33051,0.57374,0.84858,0.75975,0.71547,0.70699,0.40143,1.64232,0.70341,0.92236,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
64,7720.13,1.32449,0.56964,0.84781,0.77139,0.71586,0.70599,0.3967,1.65526,0.70497,0.92569,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
65,7840.08,1.32056,0.56973,0.84479,0.78963,0.71547,0.71156,0.40077,1.65342,0.70354,0.92537,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
66,7960.33,1.31502,0.56537,0.84728,0.80444,0.72535,0.72712,0.40947,1.64055,0.69664,0.92129,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375
67,8080.76,1.31191,0.56546,0.84648,0.82105,0.71979,0.72581,0.41067,1.65761,0.70274,0.92466,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
68,8200.54,1.3065,0.56212,0.84493,0.83774,0.71281,0.73363,0.41587,1.64233,0.6923,0.92606,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725
69,8321.12,1.30812,0.56164,0.84789,0.83021,0.71615,0.7277,0.41479,1.63818,0.69199,0.92423,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
70,8441.18,1.30601,0.5634,0.84473,0.82829,0.71862,0.73355,0.41937,1.63316,0.69401,0.92352,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
71,8561.68,1.29672,0.5559,0.84363,0.81283,0.71985,0.7261,0.41506,1.63556,0.70439,0.92238,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
72,8681.51,1.29208,0.55521,0.84283,0.79621,0.72283,0.72482,0.41458,1.63996,0.70048,0.92404,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425
73,8802.06,1.28702,0.55273,0.84241,0.81633,0.71928,0.72748,0.41371,1.64549,0.70436,0.92427,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
74,8922.62,1.2849,0.54952,0.84083,0.81859,0.72245,0.73141,0.4123,1.6471,0.70721,0.92502,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775
75,9042.53,1.28562,0.54986,0.84042,0.82037,0.71832,0.72998,0.4127,1.64719,0.70653,0.92649,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
76,9162.48,1.27498,0.55043,0.84062,0.80336,0.73182,0.73434,0.41593,1.64783,0.70265,0.92742,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
77,9282.85,1.27568,0.54452,0.83964,0.82627,0.72415,0.73854,0.41834,1.64451,0.69301,0.92767,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
78,9402.98,1.27357,0.54641,0.84213,0.82609,0.72441,0.73635,0.41749,1.64119,0.69175,0.92911,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475
79,9523.38,1.26773,0.54131,0.84042,0.83262,0.71964,0.7326,0.41814,1.64268,0.69025,0.93011,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
80,9644.07,1.26761,0.54155,0.83828,0.826,0.71449,0.7292,0.41615,1.63729,0.69087,0.92987,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825
81,9763.95,1.26133,0.53908,0.83823,0.81228,0.71413,0.72724,0.41411,1.64051,0.69675,0.92803,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
82,9884.37,1.25865,0.53941,0.83593,0.80559,0.71187,0.7246,0.41232,1.64018,0.69799,0.92767,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
83,10004.8,1.2472,0.53509,0.83804,0.81099,0.70796,0.72434,0.41278,1.63941,0.69858,0.92836,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
84,10125.2,1.25262,0.5373,0.83698,0.83332,0.70144,0.72926,0.41653,1.63552,0.69257,0.9288,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525
85,10245.5,1.24431,0.53313,0.83486,0.84116,0.70135,0.7288,0.41694,1.6327,0.69123,0.92789,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
86,10365.9,1.24213,0.53045,0.83434,0.83437,0.70914,0.73059,0.41681,1.63152,0.68876,0.9276,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875
87,10486.4,1.23484,0.52788,0.83347,0.84039,0.709,0.73046,0.41873,1.63074,0.68525,0.92704,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
88,10606.9,1.23405,0.52817,0.8332,0.82609,0.72074,0.73313,0.42081,1.6286,0.68446,0.92796,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
89,10726.9,1.22589,0.52402,0.8336,0.81271,0.72684,0.73149,0.42058,1.62816,0.68478,0.92715,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
90,10847.1,1.22039,0.52477,0.8338,0.8196,0.71877,0.72965,0.42056,1.62963,0.68444,0.92737,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575
91,10967.9,1.22738,0.52641,0.83237,0.81739,0.71845,0.72917,0.42102,1.62964,0.68544,0.92746,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
92,11088.3,1.21479,0.52075,0.8291,0.80868,0.72391,0.72997,0.42083,1.63061,0.68439,0.92753,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925
93,11208.8,1.22054,0.52303,0.83092,0.80844,0.72119,0.72905,0.42069,1.63214,0.68554,0.92771,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
94,11329,1.2149,0.51858,0.8314,0.8083,0.72276,0.73076,0.42009,1.63401,0.68491,0.9282,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
95,11449.5,1.20943,0.51439,0.83205,0.81139,0.72006,0.72995,0.41896,1.63539,0.68675,0.92824,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
96,11570.4,1.20144,0.51363,0.82954,0.81675,0.71502,0.73028,0.42,1.63764,0.68607,0.92871,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625
97,11690.8,1.1982,0.5127,0.82798,0.81068,0.72099,0.73115,0.42057,1.63848,0.68489,0.92861,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
98,11811.1,1.19408,0.50963,0.8265,0.81267,0.72147,0.73101,0.42024,1.63773,0.68388,0.9276,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975
