epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.627,1.6771,2.59552,0.99301,0.8038,0.40384,0.42311,0.20132,1.65914,10.5823,0.8675,0.000369671,0.000369671,0.000369671
2,263.083,1.53815,1.14624,0.98212,0.65746,0.47405,0.49493,0.23465,1.64024,3.67557,0.88952,0.000729538,0.000729538,0.000729538
3,400.87,1.51557,0.89559,0.98081,0.835,0.42895,0.46932,0.23697,1.58645,10.6352,0.86667,0.00107893,0.00107893,0.00107893
4,534.041,1.46894,0.82608,0.96899,0.86225,0.48278,0.55374,0.26395,1.47919,1.43398,0.87895,0.00106386,0.00106386,0.00106386
5,668.541,1.43851,0.76421,0.95911,0.75191,0.54198,0.57148,0.30151,1.40378,4.57706,0.84407,0.00104815,0.00104815,0.00104815
6,799.053,1.39742,0.73284,0.95176,0.74284,0.54897,0.59236,0.3006,1.41545,1.2573,0.86007,0.00103244,0.00103244,0.00103244
