epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,6523.76,1.42534,0.6486,0.88073,0.82905,0.82167,0.83175,0.47465,1.66519,0.76727,0.92961,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,6734.52,1.42368,0.6463,0.8776,0.84758,0.81627,0.8417,0.49748,1.61966,0.73764,0.9151,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,6945.45,1.419,0.64291,0.88055,0.8195,0.82715,0.83922,0.48784,1.63535,0.74289,0.92088,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,7156.37,1.40274,0.63484,0.87474,0.87551,0.82392,0.84342,0.48408,1.64485,0.75962,0.92233,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
35,7367.93,1.40346,0.63548,0.87697,0.79871,0.81464,0.81283,0.4751,1.6333,0.76272,0.92832,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
36,7579.48,1.40111,0.63102,0.87753,0.79321,0.8347,0.83667,0.47812,1.64348,0.75585,0.91891,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
37,7791.91,1.39603,0.62963,0.87286,0.83308,0.83172,0.84654,0.49582,1.622,0.73373,0.91966,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
38,8003.33,1.3859,0.62526,0.87151,0.80716,0.8393,0.84031,0.48817,1.62479,0.73114,0.91889,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475
39,8214.86,1.38322,0.62435,0.87326,0.81268,0.84805,0.85742,0.50243,1.60235,0.73149,0.91843,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
40,8425.42,1.37573,0.61998,0.86984,0.84378,0.82219,0.84968,0.49378,1.61949,0.72659,0.92345,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
41,8635.73,1.37204,0.61843,0.87057,0.79104,0.83233,0.83341,0.49393,1.61633,0.73289,0.92319,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,8847.26,1.36717,0.61739,0.87002,0.80984,0.84044,0.85056,0.50044,1.59693,0.71575,0.91789,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
43,9059.93,1.36919,0.61603,0.8729,0.81154,0.83144,0.83546,0.49267,1.60155,0.74501,0.91945,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
44,9271.29,1.35796,0.61248,0.86774,0.79918,0.8308,0.83989,0.49541,1.61479,0.73757,0.92114,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525
45,9479.9,1.35184,0.60464,0.86804,0.82822,0.82457,0.8443,0.49232,1.63629,0.72319,0.92603,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
46,9691.48,1.35374,0.60824,0.86639,0.81697,0.82781,0.83078,0.48837,1.60492,0.73628,0.92093,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
47,9902.91,1.3465,0.60327,0.86612,0.85307,0.84095,0.84849,0.50451,1.60266,0.7148,0.92363,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
48,10115.3,1.33834,0.60122,0.86226,0.8203,0.84006,0.82925,0.49453,1.58868,0.70866,0.91857,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
49,10327.5,1.3393,0.59912,0.8654,0.81374,0.84022,0.82612,0.48421,1.6047,0.72338,0.92158,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
50,10539.3,1.33648,0.59936,0.8651,0.80244,0.82428,0.81967,0.48284,1.60434,0.7356,0.92298,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
51,10752.2,1.33205,0.59327,0.86579,0.77907,0.8409,0.80587,0.48271,1.5851,0.72561,0.91779,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
52,10963.9,1.3287,0.59231,0.86252,0.79338,0.83526,0.79622,0.46655,1.60298,0.73029,0.91937,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
53,11175.2,1.31792,0.58666,0.86097,0.79596,0.83432,0.82084,0.48437,1.58639,0.71929,0.91587,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
54,11388.7,1.31782,0.58763,0.86211,0.79475,0.84323,0.82557,0.48767,1.61169,0.72774,0.92399,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275
55,11601.9,1.31397,0.58535,0.86081,0.81359,0.83881,0.82914,0.49208,1.59615,0.70816,0.92164,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
56,11816,1.30446,0.58269,0.86287,0.82266,0.84674,0.82557,0.48746,1.60694,0.71617,0.92518,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625
57,12028,1.3062,0.58439,0.86088,0.81555,0.84342,0.83188,0.49647,1.58415,0.70866,0.9201,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
58,12238.9,1.30475,0.58199,0.86178,0.83737,0.83062,0.84547,0.50067,1.5841,0.69555,0.91914,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
59,12452.3,1.30167,0.57956,0.85778,0.82262,0.84034,0.84142,0.49603,1.58634,0.70377,0.91734,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
60,12664.1,1.28956,0.57311,0.85765,0.83559,0.8437,0.8523,0.50632,1.59107,0.69604,0.9168,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325
61,12877.2,1.28596,0.57444,0.85748,0.83149,0.84755,0.84696,0.49561,1.60757,0.70199,0.92073,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,13090,1.28201,0.57128,0.85543,0.82123,0.83661,0.83955,0.49788,1.59942,0.69968,0.92285,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675
63,13298.3,1.27938,0.57001,0.85525,0.84086,0.82904,0.83943,0.5037,1.57619,0.70075,0.91916,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
64,13510.3,1.27683,0.56739,0.85402,0.82428,0.83453,0.83838,0.50448,1.5624,0.70336,0.91098,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
65,13721.7,1.27389,0.56803,0.85359,0.83415,0.8334,0.82947,0.49383,1.57625,0.71226,0.91296,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
66,13932.2,1.26806,0.5652,0.85127,0.81329,0.83047,0.81586,0.48652,1.58401,0.70718,0.91785,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375
67,14144.4,1.2677,0.56367,0.85457,0.81815,0.83289,0.80554,0.48217,1.57901,0.69963,0.91722,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
68,14356.4,1.26042,0.55942,0.85254,0.81696,0.83669,0.81655,0.48828,1.58172,0.70356,0.91607,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725
69,14571.8,1.24964,0.55511,0.84954,0.799,0.84366,0.8116,0.48555,1.57056,0.70614,0.91488,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
70,14783.2,1.25559,0.55718,0.85305,0.81454,0.84375,0.82396,0.49056,1.57528,0.69806,0.91607,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
71,14995.1,1.25484,0.55601,0.85032,0.82469,0.84047,0.82787,0.49795,1.56948,0.68946,0.91406,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
72,15206.8,1.25107,0.55461,0.84915,0.81808,0.84766,0.82493,0.49388,1.57093,0.69206,0.91655,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425
73,15419.5,1.23936,0.55016,0.84665,0.83276,0.84675,0.83822,0.49782,1.56917,0.68599,0.91553,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
