epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9504,1.92717,2.61505,1.03742,0.75868,0.58833,0.59412,0.29094,1.78876,1.63723,1.05617,0.000368828,0.000368828,0.000368828
2,104.837,1.84127,1.52505,1.03367,0.78861,0.64437,0.68349,0.33692,1.78597,1.35227,1.06105,0.000731844,0.000731844,0.000731844
3,156.683,1.81962,1.20373,1.0321,0.77417,0.64804,0.67847,0.35376,1.74817,1.10544,1.05022,0.00108753,0.00108753,0.00108753
4,205.409,1.78574,1.06201,1.02559,0.65675,0.65057,0.65744,0.34953,1.76248,1.19227,1.055,0.001078,0.001078,0.001078
5,255.194,1.75189,0.98163,1.02361,0.87264,0.66639,0.71442,0.36158,1.84958,1.01641,1.08167,0.001067,0.001067,0.001067
6,303.933,1.73191,0.94733,1.01335,0.85396,0.664,0.71602,0.35873,1.8682,1.01718,1.07584,0.00105601,0.00105601,0.00105601
7,351.419,1.70638,0.89298,1.00788,0.83807,0.68939,0.72252,0.38117,1.78914,0.97705,1.04821,0.00104501,0.00104501,0.00104501
8,398.518,1.68008,0.8739,0.9956,0.7172,0.71098,0.73337,0.41063,1.70091,1.00101,1.04566,0.00103401,0.00103401,0.00103401
9,446.436,1.65769,0.84982,0.98959,0.81253,0.67255,0.71972,0.39013,1.75884,0.94248,1.05607,0.00102301,0.00102301,0.00102301
10,495.128,1.64916,0.83608,0.99011,0.74106,0.7174,0.73253,0.40208,1.71039,0.91321,1.04571,0.00101201,0.00101201,0.00101201
11,543.53,1.62683,0.81941,0.98506,0.83519,0.73086,0.75873,0.42384,1.71394,0.88441,1.05267,0.00100101,0.00100101,0.00100101
12,593.164,1.62014,0.81325,0.98222,0.82788,0.70869,0.74788,0.40723,1.81202,0.91122,1.06357,0.000990012,0.000990012,0.000990012
13,640.654,1.59888,0.7912,0.97379,0.88171,0.7311,0.76597,0.42574,1.69756,0.86865,1.03926,0.000979013,0.000979013,0.000979013
14,687.442,1.59528,0.78824,0.97631,0.80269,0.74494,0.76106,0.41361,1.73528,0.86706,1.05036,0.000968014,0.000968014,0.000968014
15,736.069,1.59269,0.78324,0.97568,0.89677,0.74359,0.77748,0.43614,1.73728,0.84007,1.0643,0.000957015,0.000957015,0.000957015
16,783.891,1.56972,0.76258,0.97005,0.86579,0.71991,0.75916,0.42868,1.70813,0.8997,1.05959,0.000946016,0.000946016,0.000946016
17,833.237,1.57048,0.76138,0.9722,0.85087,0.74757,0.7637,0.43613,1.6897,0.84401,1.05713,0.000935018,0.000935018,0.000935018
18,882.161,1.56191,0.75296,0.96511,0.80666,0.72942,0.73703,0.38056,1.79792,0.9046,1.04451,0.000924019,0.000924019,0.000924019
19,932.049,1.56867,0.75688,0.96744,0.84579,0.76635,0.78522,0.44415,1.72903,0.86237,1.06244,0.00091302,0.00091302,0.00091302
20,982.044,1.54372,0.74847,0.95916,0.82263,0.76179,0.78128,0.42172,1.747,0.83636,1.0542,0.000902021,0.000902021,0.000902021
21,1032.35,1.54424,0.7405,0.96463,0.82119,0.75021,0.77946,0.44654,1.69075,0.83804,1.04748,0.000891022,0.000891022,0.000891022
22,1080.5,1.52819,0.73752,0.95663,0.83427,0.76598,0.79197,0.45286,1.73116,0.83058,1.05242,0.000880023,0.000880023,0.000880023
23,1127.43,1.52338,0.72642,0.95252,0.84507,0.75934,0.77408,0.43188,1.70545,0.84161,1.05165,0.000869024,0.000869024,0.000869024
24,1173.89,1.51287,0.72152,0.95094,0.86144,0.73831,0.77526,0.44658,1.66166,0.82158,1.03741,0.000858025,0.000858025,0.000858025
25,1220.55,1.51735,0.72419,0.95748,0.87609,0.74425,0.78385,0.46526,1.61744,0.82584,1.02925,0.000847026,0.000847026,0.000847026
26,1267.12,1.5068,0.71533,0.95737,0.80368,0.73718,0.76783,0.44872,1.63933,0.8339,1.04474,0.000836027,0.000836027,0.000836027
27,1315.24,1.4993,0.70412,0.94741,0.85252,0.78254,0.79878,0.46415,1.66083,0.79742,1.06166,0.000825029,0.000825029,0.000825029
28,1363.55,1.47755,0.69944,0.94678,0.8494,0.76919,0.78599,0.4676,1.64451,0.7955,1.04938,0.00081403,0.00081403,0.00081403
29,1413.11,1.48005,0.70656,0.94519,0.8846,0.7729,0.79107,0.45718,1.66571,0.78848,1.05748,0.000803031,0.000803031,0.000803031
30,1463.5,1.48575,0.70056,0.94545,0.81631,0.74167,0.76634,0.45502,1.59922,0.82086,1.02884,0.000792032,0.000792032,0.000792032
31,1512.89,1.46706,0.68801,0.94313,0.87653,0.76638,0.79933,0.4638,1.64971,0.79775,1.04818,0.000781033,0.000781033,0.000781033
32,1562.88,1.46451,0.68896,0.94058,0.89823,0.77336,0.7874,0.46159,1.61815,0.78473,1.04021,0.000770034,0.000770034,0.000770034
33,1612.19,1.45316,0.68349,0.93772,0.85666,0.79449,0.81307,0.47487,1.61343,0.78483,1.0411,0.000759035,0.000759035,0.000759035
34,1662.31,1.46217,0.68267,0.94292,0.85973,0.79854,0.79463,0.46572,1.60392,0.76505,1.03189,0.000748036,0.000748036,0.000748036
35,1712.02,1.45006,0.67517,0.93898,0.82103,0.77775,0.76356,0.45322,1.58878,0.80122,1.03272,0.000737037,0.000737037,0.000737037
36,1762.78,1.44323,0.67323,0.94216,0.86358,0.76684,0.78186,0.46279,1.62479,0.80008,1.05651,0.000726038,0.000726038,0.000726038
37,1811.67,1.43579,0.67059,0.94008,0.85289,0.78517,0.7812,0.46267,1.59332,0.81737,1.02505,0.00071504,0.00071504,0.00071504
38,1859.54,1.44174,0.67391,0.9351,0.84408,0.7357,0.76424,0.44958,1.61662,0.81736,1.03065,0.000704041,0.000704041,0.000704041
39,1907.81,1.4258,0.66236,0.92644,0.8768,0.7971,0.80823,0.48091,1.60203,0.76543,1.03617,0.000693042,0.000693042,0.000693042
40,1956.7,1.4084,0.65033,0.93423,0.83589,0.77952,0.80082,0.48715,1.58865,0.75181,1.0402,0.000682043,0.000682043,0.000682043
41,2003.08,1.42462,0.6609,0.92872,0.9089,0.77241,0.80676,0.49108,1.58161,0.74364,1.0321,0.000671044,0.000671044,0.000671044
42,2049.71,1.40877,0.65173,0.9303,0.87652,0.79003,0.7853,0.46509,1.62203,0.75371,1.04067,0.000660045,0.000660045,0.000660045
43,2097.05,1.41858,0.64957,0.92848,0.88555,0.77504,0.80823,0.48564,1.59085,0.73357,1.05064,0.000649046,0.000649046,0.000649046
44,2146.79,1.40602,0.64724,0.9259,0.87285,0.79832,0.81051,0.48664,1.58479,0.74404,1.03925,0.000638047,0.000638047,0.000638047
45,2197.34,1.39888,0.64671,0.92548,0.8553,0.79529,0.80919,0.47418,1.62972,0.74692,1.04624,0.000627048,0.000627048,0.000627048
46,2246.84,1.39801,0.63872,0.92752,0.8445,0.77913,0.78316,0.46334,1.59596,0.75661,1.03627,0.000616049,0.000616049,0.000616049
47,2296.31,1.38127,0.6307,0.92194,0.91046,0.79236,0.8167,0.49792,1.56722,0.71984,1.04213,0.000605051,0.000605051,0.000605051
48,2346.92,1.38916,0.63676,0.92236,0.90462,0.78842,0.81385,0.49915,1.56047,0.72559,1.03322,0.000594052,0.000594052,0.000594052
49,2395.71,1.37847,0.62857,0.9236,0.89694,0.77632,0.79451,0.48258,1.55658,0.72003,1.04384,0.000583053,0.000583053,0.000583053
50,2445.63,1.36311,0.63059,0.92146,0.90269,0.78812,0.81384,0.49313,1.59348,0.73517,1.04679,0.000572054,0.000572054,0.000572054
51,2497.33,1.3761,0.6326,0.92141,0.88901,0.77391,0.79586,0.48283,1.58846,0.73907,1.04486,0.000561055,0.000561055,0.000561055
52,2546.83,1.356,0.62172,0.9166,0.83678,0.77701,0.78402,0.4798,1.54672,0.73948,1.0309,0.000550056,0.000550056,0.000550056
53,2597.16,1.36476,0.61931,0.91748,0.85059,0.78072,0.79617,0.48536,1.56374,0.74738,1.02698,0.000539057,0.000539057,0.000539057
54,2643.47,1.35023,0.61501,0.9182,0.87118,0.78421,0.80622,0.48901,1.56763,0.7407,1.02538,0.000528058,0.000528058,0.000528058
55,2689.81,1.34799,0.6176,0.91469,0.90113,0.7974,0.81758,0.49278,1.55089,0.72539,1.0254,0.000517059,0.000517059,0.000517059
56,2737.54,1.34223,0.61354,0.91753,0.89256,0.79839,0.80784,0.49491,1.54969,0.7421,1.03086,0.00050606,0.00050606,0.00050606
57,2783.81,1.33723,0.61183,0.91464,0.83919,0.78001,0.78785,0.484,1.55248,0.73783,1.02565,0.000495062,0.000495062,0.000495062
58,2830.32,1.33565,0.60913,0.91143,0.8439,0.7703,0.78823,0.47646,1.58419,0.7413,1.04265,0.000484063,0.000484063,0.000484063
59,2877.76,1.33352,0.60697,0.91334,0.83594,0.77623,0.78742,0.47816,1.57305,0.75878,1.03602,0.000473064,0.000473064,0.000473064
60,2926.43,1.32251,0.59777,0.90913,0.87371,0.77995,0.8027,0.4976,1.56679,0.71904,1.04615,0.000462065,0.000462065,0.000462065
61,2975.88,1.32406,0.60684,0.90893,0.85863,0.78368,0.79592,0.48545,1.55886,0.72519,1.0341,0.000451066,0.000451066,0.000451066
62,3025.3,1.32383,0.59996,0.91109,0.882,0.77989,0.81131,0.49825,1.53726,0.69987,1.03337,0.000440067,0.000440067,0.000440067
63,3076.76,1.31019,0.59533,0.90496,0.86947,0.78773,0.80624,0.50036,1.52462,0.70943,1.03385,0.000429068,0.000429068,0.000429068
64,3127.05,1.30153,0.58787,0.90873,0.87821,0.78493,0.81284,0.50069,1.54384,0.70455,1.0337,0.000418069,0.000418069,0.000418069
65,3173.7,1.29739,0.58353,0.90142,0.88013,0.78736,0.80066,0.49626,1.54401,0.74639,1.04698,0.00040707,0.00040707,0.00040707
66,3221.06,1.29808,0.58817,0.90089,0.90102,0.78828,0.80853,0.50274,1.5267,0.69858,1.03218,0.000396071,0.000396071,0.000396071
67,3271.73,1.29101,0.58081,0.90167,0.91773,0.79195,0.8086,0.49752,1.56781,0.694,1.03675,0.000385073,0.000385073,0.000385073
68,3323.63,1.29444,0.57909,0.90163,0.87975,0.79258,0.8028,0.49289,1.54504,0.70529,1.041,0.000374074,0.000374074,0.000374074
69,3373.31,1.27638,0.58047,0.90049,0.89417,0.79681,0.81661,0.50225,1.56039,0.69872,1.04056,0.000363075,0.000363075,0.000363075
70,3421.24,1.30098,0.58094,0.90174,0.85611,0.7771,0.79769,0.48654,1.54983,0.72504,1.0378,0.000352076,0.000352076,0.000352076
71,3470.24,1.27352,0.57513,0.90083,0.86726,0.78744,0.80004,0.49078,1.56886,0.72593,1.04741,0.000341077,0.000341077,0.000341077
72,3518.66,1.27236,0.57035,0.8958,0.85252,0.78031,0.79294,0.48886,1.54494,0.71746,1.03964,0.000330078,0.000330078,0.000330078
73,3567.63,1.27323,0.57308,0.90155,0.89388,0.79316,0.80442,0.49807,1.56073,0.69624,1.04202,0.000319079,0.000319079,0.000319079
74,3616.6,1.25979,0.5657,0.89526,0.86141,0.80603,0.80131,0.50305,1.53745,0.7065,1.03779,0.00030808,0.00030808,0.00030808
75,3666.76,1.27059,0.5699,0.89791,0.85456,0.79427,0.80626,0.50158,1.53379,0.7166,1.03311,0.000297081,0.000297081,0.000297081
76,3715.94,1.24891,0.56065,0.89029,0.88531,0.78884,0.80585,0.49473,1.54435,0.70567,1.03665,0.000286083,0.000286083,0.000286083
77,3765.54,1.24192,0.55534,0.88826,0.86316,0.7886,0.80725,0.49937,1.54107,0.70694,1.02912,0.000275084,0.000275084,0.000275084
78,3815.77,1.24622,0.55709,0.89292,0.89254,0.78627,0.80993,0.50278,1.5437,0.70582,1.03707,0.000264085,0.000264085,0.000264085
79,3864.69,1.23543,0.55309,0.88745,0.89501,0.79031,0.81508,0.50695,1.54023,0.70842,1.03999,0.000253086,0.000253086,0.000253086
80,3913.41,1.22806,0.55024,0.88761,0.8849,0.78343,0.82168,0.51133,1.53917,0.71925,1.03484,0.000242087,0.000242087,0.000242087
81,3963.88,1.23912,0.55326,0.89035,0.88146,0.77447,0.81727,0.50611,1.55104,0.70765,1.02937,0.000231088,0.000231088,0.000231088
82,4014.57,1.22654,0.54695,0.88909,0.89339,0.78219,0.8202,0.51069,1.53885,0.71366,1.03232,0.000220089,0.000220089,0.000220089
83,4064.4,1.22231,0.5459,0.8879,0.88934,0.78823,0.8176,0.50841,1.5577,0.71658,1.04283,0.00020909,0.00020909,0.00020909
84,4114.9,1.2153,0.54302,0.88523,0.89953,0.78242,0.81497,0.51063,1.53442,0.69732,1.03573,0.000198091,0.000198091,0.000198091
85,4164.45,1.21586,0.542,0.88606,0.88998,0.79287,0.81949,0.51157,1.54639,0.70693,1.03658,0.000187092,0.000187092,0.000187092
