로그 ID,메시지,감지 시각,구역 ID,위험구역,감지 인원,이미지 확인 링크,담당자,확인 시각
LOG_46F20C90,위험구역 침범 감지,2026-07-07 15:14:59,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_151459_rescue_9e5ab966.jpg,,
LOG_9562D618,위험구역 침범 감지,2026-07-07 15:15:04,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_151504_rescue_48351e2d.jpg,,
LOG_1D08D361,위험구역 침범 감지,2026-07-07 15:15:10,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_151510_rescue_e7ab116e.jpg,,
LOG_6E0D2139,위험구역 침범 감지,2026-07-07 15:16:54,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_151654_rescue_485eac1d.jpg,,
LOG_9CA5E791,위험구역 침범 감지,2026-07-07 16:44:33,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_164433_rescue_392f274f.jpg,,
LOG_A064B02B,위험구역 침범 감지,2026-07-07 16:44:38,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_164438_rescue_62ddbd7d.jpg,gildong2,2026-07-07 16:44:44
LOG_0A25871A,위험구역 침범 감지,2026-07-07 16:46:41,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_164641_rescue_f6891565.jpg,,
LOG_CCF09266,위험구역 침범 감지,2026-07-07 16:46:46,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_164646_rescue_b760a974.jpg,gildong2,2026-07-08 09:15:32
LOG_8611D5AA,위험구역 침범 감지,2026-07-07 16:52:10,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_165210_rescue_7fa38c6d.jpg,,
LOG_72801C3E,위험구역 침범 감지,2026-07-07 16:52:15,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",2,C:\ocean_rescue_images\2026-07-07_165215_rescue_7eaf27c8.jpg,gildong2,2026-07-07 17:21:24
LOG_0657C106,위험구역 침범 감지,2026-07-07 17:20:42,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_172042_rescue_6c33ce40.jpg,gildong2,2026-07-07 17:28:02
LOG_33296118,위험구역 침범 감지,2026-07-07 17:21:40,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_172140_rescue_180d00b3.jpg,,
LOG_4A6E26D3,위험구역 침범 감지,2026-07-07 17:21:46,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_172146_rescue_11954abc.jpg,gildong2,2026-07-07 17:21:52
LOG_D6BC1A42,위험구역 침범 감지,2026-07-08 09:16:44,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-08_091644_rescue_46313c40.jpg,,
LOG_E87D6BA1,위험구역 침범 감지,2026-07-08 09:16:49,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-08_091649_rescue_d1441f51.jpg,,
LOG_C42554FF,위험구역 침범 감지,2026-07-08 09:16:54,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-08_091654_rescue_8fdea38b.jpg,gildong2,2026-07-08 09:17:00
LOG_22A14AE5,위험구역 침범 감지,2026-07-08 10:13:22,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-08_101322_rescue_ab5c919e.jpg,,
LOG_4580AD30,위험구역 침범 감지,2026-07-08 10:13:27,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",2,C:\ocean_rescue_images\2026-07-08_101327_rescue_a68578fe.jpg,gildong2,2026-07-08 10:13:35
LOG_D48A4D3A,위험구역 침범 감지,2026-07-08 10:21:59,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-08_102159_rescue_040d9f77.jpg,,
