epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.248,2.09722,2.21621,0.9699,0.65334,0.42027,0.39262,0.17016,2.18411,1.5612,0.95128,0.000369671,0.000369671,0.000369671
2,255.131,1.95469,1.1978,0.95422,0.76292,0.45273,0.46721,0.20682,2.17893,1.17126,0.984,0.000729538,0.000729538,0.000729538
3,385.452,1.93466,1.01141,0.95042,0.81191,0.49129,0.51174,0.24371,2.04847,1.10777,0.94632,0.00107893,0.00107893,0.00107893
4,507.108,1.89052,0.94827,0.94344,0.76725,0.52228,0.5183,0.25175,2.04013,0.97638,0.95828,0.00106386,0.00106386,0.00106386
5,633.958,1.8522,0.89244,0.93497,0.73919,0.50504,0.5228,0.25321,2.01243,0.98634,0.94367,0.00104815,0.00104815,0.00104815
6,769.396,1.82697,0.86772,0.92937,0.69046,0.54713,0.54153,0.27244,1.95639,0.94234,0.93379,0.00103244,0.00103244,0.00103244
7,895.431,1.79678,0.83507,0.92463,0.74656,0.56167,0.55468,0.26698,1.94516,0.9379,0.9331,0.00101672,0.00101672,0.00101672
8,1021.72,1.77561,0.81757,0.92218,0.71122,0.52762,0.53711,0.23843,2.10377,0.96358,0.95995,0.00100101,0.00100101,0.00100101
9,1159.37,1.74473,0.79896,0.91417,0.69306,0.56191,0.56317,0.26711,2.00517,0.95082,0.94084,0.000985298,0.000985298,0.000985298
10,1291.39,1.73617,0.78448,0.90883,0.66169,0.5694,0.56585,0.2721,1.97602,0.91441,0.94065,0.000969586,0.000969586,0.000969586
11,1424.55,1.71105,0.77034,0.90938,0.69731,0.58419,0.57869,0.27495,1.98906,0.88945,0.95372,0.000953873,0.000953873,0.000953873
12,1552.55,1.70396,0.7622,0.90532,0.6942,0.57857,0.57472,0.28541,1.87647,0.86339,0.91957,0.00093816,0.00093816,0.00093816
13,1693.92,1.68256,0.75116,0.90041,0.75064,0.5856,0.59472,0.30452,1.85689,0.83618,0.92602,0.000922447,0.000922447,0.000922447
14,1825,1.66397,0.74037,0.89781,0.7163,0.57305,0.5764,0.29138,1.90814,0.84798,0.93591,0.000906735,0.000906735,0.000906735
15,1954.12,1.66216,0.74116,0.89631,0.70512,0.59758,0.59545,0.30239,1.84318,0.84548,0.92773,0.000891022,0.000891022,0.000891022
16,2081.96,1.65485,0.72757,0.89515,0.78396,0.59333,0.60221,0.29641,1.90276,0.83133,0.93652,0.000875309,0.000875309,0.000875309
17,2210.12,1.64194,0.72173,0.89628,0.7833,0.60466,0.61088,0.31086,1.8578,0.83305,0.934,0.000859597,0.000859597,0.000859597
18,2339.32,1.62526,0.71395,0.88979,0.7657,0.61487,0.61838,0.3123,1.89518,0.81199,0.93992,0.000843884,0.000843884,0.000843884
19,2467.06,1.62385,0.70969,0.89336,0.80782,0.60434,0.62612,0.3219,1.81016,0.821,0.93028,0.000828171,0.000828171,0.000828171
