epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7843,1.92234,2.65279,1.02626,0.7315,0.51474,0.53835,0.28656,1.75282,1.66841,1.02195,0.000331978,0.000331978,0.000331978
2,97.0139,1.8092,1.55657,1.01834,0.65553,0.52406,0.5192,0.27585,1.75605,1.55529,1.04521,0.000658725,0.000658725,0.000658725
3,146.049,1.78487,1.23031,1.02014,0.4922,0.47335,0.51293,0.28264,1.78138,1.31962,1.05311,0.000978872,0.000978872,0.000978872
4,193.673,1.74717,1.0461,1.00892,0.77419,0.55826,0.5932,0.31878,1.74562,1.26435,1.04392,0.0009703,0.0009703,0.0009703
5,243.51,1.70438,0.95951,0.99937,0.88076,0.59902,0.65754,0.37866,1.71753,1.02088,1.06829,0.0009604,0.0009604,0.0009604
6,294.006,1.69123,0.92421,0.99343,0.79323,0.6084,0.62278,0.35188,1.71295,1.01263,1.03584,0.0009505,0.0009505,0.0009505
7,345.212,1.64681,0.87619,0.98341,0.89481,0.64886,0.6825,0.39034,1.71857,0.94652,1.05222,0.0009406,0.0009406,0.0009406
8,394.442,1.62929,0.86067,0.97563,0.87245,0.59157,0.6503,0.37406,1.66702,0.91001,1.05426,0.0009307,0.0009307,0.0009307
9,444.108,1.61255,0.83811,0.97245,0.82227,0.65207,0.65262,0.37875,1.71045,0.95228,1.05531,0.0009208,0.0009208,0.0009208
10,495.227,1.5911,0.81134,0.9709,0.79176,0.5653,0.62266,0.36327,1.6563,1.03343,1.02307,0.0009109,0.0009109,0.0009109
11,543.347,1.58053,0.79846,0.96691,0.86814,0.58462,0.63991,0.37266,1.69005,0.88039,1.05641,0.000901,0.000901,0.000901
12,592.642,1.57662,0.79448,0.96976,0.84167,0.62965,0.67186,0.40959,1.63343,0.86233,1.05022,0.0008911,0.0008911,0.0008911
13,641.536,1.54855,0.77423,0.96019,0.83376,0.63575,0.65438,0.39716,1.6317,0.85647,1.0368,0.0008812,0.0008812,0.0008812
14,691.429,1.55169,0.77529,0.96124,0.79483,0.64187,0.6679,0.40808,1.59742,0.8412,1.03609,0.0008713,0.0008713,0.0008713
15,741.062,1.54362,0.7626,0.95754,0.88505,0.6846,0.7016,0.41324,1.66549,0.81987,1.05849,0.0008614,0.0008614,0.0008614
16,790.638,1.52204,0.75557,0.95285,0.83861,0.65029,0.67208,0.40991,1.63472,0.84485,1.0344,0.0008515,0.0008515,0.0008515
17,840.402,1.51375,0.73958,0.95297,0.91436,0.66696,0.70345,0.44201,1.59398,0.80899,1.03574,0.0008416,0.0008416,0.0008416
18,889.258,1.50176,0.73714,0.95142,0.8647,0.67053,0.69313,0.41701,1.63695,0.81497,1.04673,0.0008317,0.0008317,0.0008317
19,939.898,1.49654,0.73315,0.94699,0.87947,0.67653,0.70299,0.43586,1.60949,0.85067,1.04354,0.0008218,0.0008218,0.0008218
20,987.997,1.48596,0.72356,0.94308,0.81844,0.65237,0.66823,0.40008,1.63497,0.81665,1.03891,0.0008119,0.0008119,0.0008119
21,1039.44,1.48254,0.72006,0.94221,0.85979,0.65351,0.69134,0.43126,1.5796,0.79989,1.03242,0.000802,0.000802,0.000802
22,1089.14,1.471,0.7081,0.93607,0.88525,0.65917,0.70137,0.44349,1.59389,0.79592,1.05789,0.0007921,0.0007921,0.0007921
