epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2041.64,1.31549,0.61931,0.90708,0.87672,0.67868,0.70181,0.44409,1.52689,0.72962,1.04436,0.000466779,0.000466779,0.000466779
43,2089.74,1.33168,0.61885,0.90861,0.82843,0.68002,0.70715,0.44593,1.54556,0.76359,1.04713,0.000451066,0.000451066,0.000451066
44,2138.05,1.32268,0.61128,0.90522,0.81996,0.68011,0.687,0.43487,1.53361,0.77083,1.04775,0.000435353,0.000435353,0.000435353
45,2186.6,1.29825,0.60259,0.90506,0.91166,0.68828,0.72104,0.45549,1.5195,0.71172,1.0418,0.000419641,0.000419641,0.000419641
46,2235.3,1.29968,0.60221,0.904,0.86131,0.67621,0.70301,0.44994,1.50804,0.71594,1.02976,0.000403928,0.000403928,0.000403928
47,2284.02,1.28584,0.58933,0.90028,0.8875,0.69721,0.69834,0.4411,1.54017,0.73111,1.0535,0.000388215,0.000388215,0.000388215
48,2332.38,1.29148,0.59669,0.89934,0.88895,0.69478,0.71956,0.45571,1.50567,0.71547,1.03371,0.000372502,0.000372502,0.000372502
49,2380.9,1.27421,0.58904,0.90154,0.9146,0.69435,0.72807,0.45983,1.50858,0.72614,1.03735,0.00035679,0.00035679,0.00035679
50,2428.5,1.27008,0.58827,0.90025,0.85599,0.6935,0.70867,0.44398,1.54874,0.73908,1.05393,0.000341077,0.000341077,0.000341077
51,2477.88,1.27039,0.58348,0.90169,0.70634,0.70547,0.70804,0.4441,1.53377,0.72328,1.04825,0.000325364,0.000325364,0.000325364
52,2525.55,1.25896,0.57903,0.8944,0.84708,0.67986,0.69402,0.43957,1.51389,0.71428,1.0465,0.000309652,0.000309652,0.000309652
53,2574.41,1.25876,0.58034,0.89492,0.89529,0.69685,0.71407,0.44998,1.52659,0.71217,1.04449,0.000293939,0.000293939,0.000293939
54,2622.04,1.24325,0.5739,0.89264,0.91264,0.70054,0.7212,0.46719,1.50872,0.70066,1.04333,0.000278226,0.000278226,0.000278226
55,2669.69,1.24009,0.56847,0.89201,0.89403,0.68967,0.7234,0.46145,1.51771,0.70798,1.04541,0.000262513,0.000262513,0.000262513
56,2718.47,1.23018,0.56484,0.89366,0.91845,0.69586,0.72343,0.4641,1.51218,0.69324,1.04918,0.000246801,0.000246801,0.000246801
57,2767.27,1.23121,0.56295,0.89103,0.81235,0.72109,0.71699,0.46198,1.51206,0.70485,1.04842,0.000231088,0.000231088,0.000231088
58,2814.08,1.22978,0.56635,0.88835,0.88666,0.69629,0.71857,0.46473,1.51712,0.71646,1.05271,0.000215375,0.000215375,0.000215375
59,2860.1,1.21483,0.55844,0.89012,0.86407,0.68717,0.7134,0.46105,1.51752,0.71122,1.0526,0.000199663,0.000199663,0.000199663
