epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,139.218,2.00831,2.50622,0.97092,0.73161,0.50414,0.51564,0.24824,1.95234,1.70692,0.91687,0.00998201,0.00332734,0.00998201,0.00332734,0.00998201,0.00332734,0.00998201,0.00332734
2,270.749,1.9293,1.48125,0.96509,0.75328,0.52913,0.54597,0.25759,2.10108,1.48007,0.97165,0.0198172,0.00660572,0.0198172,0.00660572,0.0198172,0.00660572,0.0198172,0.00660572
3,401.418,1.96151,1.22079,0.97304,0.81708,0.53549,0.56819,0.25829,2.10879,1.25379,1.00359,0.0294873,0.0098291,0.0294873,0.0098291,0.0294873,0.0098291,0.0294873,0.0098291
4,532.941,1.95415,1.07981,0.98101,0.80214,0.5589,0.58873,0.28121,2.05012,1.13195,0.98133,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,662.009,1.86156,0.96328,0.96354,0.79109,0.60295,0.62477,0.29421,2.07312,1.0649,0.9965,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,790.961,1.80903,0.91083,0.95212,0.8164,0.58853,0.6091,0.27995,2.03898,1.03169,0.98309,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,920.794,1.76915,0.8747,0.94604,0.6834,0.62721,0.62847,0.31551,1.98307,0.96506,0.9655,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,1050.63,1.72277,0.839,0.93512,0.72478,0.64222,0.6663,0.33656,1.93223,0.99772,0.95843,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,1179.13,1.70906,0.81995,0.93379,0.70964,0.66654,0.67451,0.3593,1.86426,0.92192,0.95094,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,1305.01,1.67075,0.80045,0.92184,0.79356,0.66252,0.67395,0.3574,1.85326,0.88726,0.95256,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,1433.16,1.65739,0.79132,0.9199,0.81298,0.63995,0.66388,0.34238,1.87918,0.90723,0.96178,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
12,1564.48,1.6319,0.77673,0.91305,0.83182,0.65984,0.68631,0.345,1.87525,0.88882,0.94449,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
